customerid,risk_score,risk_band,churn_probability,tenure_months,contract,internet_service,monthly_charges
2545-EBUPK,96,High,0.9643,2,Month-to-month,Fiber optic,84.05
5542-TBBWB,96,High,0.9552,1,Month-to-month,Fiber optic,69.9
8161-QYMTT,95,High,0.9492,7,Month-to-month,Fiber optic,94.1
4927-WWOOZ,94,High,0.9437,2,Month-to-month,Fiber optic,91.45
1452-VOQCH,93,High,0.9345,1,Month-to-month,Fiber optic,75.1
6630-UJZMY,93,High,0.9309,4,Month-to-month,Fiber optic,83.25
3320-VEOYC,93,High,0.929,14,Month-to-month,Fiber optic,95.6
8622-ZLFKO,93,High,0.9273,6,Month-to-month,Fiber optic,90.75
5150-ITWWB,92,High,0.9231,3,Month-to-month,Fiber optic,94.85
7577-SWIFR,92,High,0.9178,1,Month-to-month,Fiber optic,89.25
6969-MVBAI,91,High,0.9089,9,Month-to-month,Fiber optic,90.1
4090-KPJIP,91,High,0.9088,3,Month-to-month,Fiber optic,74.95
1751-NCDLI,91,High,0.9075,46,Month-to-month,Fiber optic,98.85
8739-XNIKG,91,High,0.9072,5,Month-to-month,Fiber optic,84.0
7439-DKZTW,91,High,0.9059,1,Month-to-month,Fiber optic,80.55
6856-RAURS,90,High,0.9018,2,Month-to-month,Fiber optic,74.9
1628-BIZYP,90,High,0.9005,1,Month-to-month,Fiber optic,85.0
2254-DLXRI,90,High,0.9002,1,Month-to-month,Fiber optic,79.15
0021-IKXGC,90,High,0.8988,1,Month-to-month,Fiber optic,72.1
4445-ZJNMU,90,High,0.8984,9,Month-to-month,Fiber optic,99.3
9603-OAIHC,90,High,0.8977,1,Month-to-month,Fiber optic,70.05
4912-PIGUY,89,High,0.8938,1,Month-to-month,Fiber optic,84.6
7363-QTBIW,89,High,0.8923,9,Month-to-month,Fiber optic,79.75
9334-GWGOW,89,High,0.8887,7,Month-to-month,Fiber optic,74.85
2077-MPJQO,89,High,0.8876,7,Month-to-month,Fiber optic,75.4
7465-ZZRVX,89,High,0.8863,1,Month-to-month,Fiber optic,70.35
3462-BJQQA,88,High,0.8836,6,Month-to-month,Fiber optic,89.75
3878-AVSOQ,88,High,0.8826,1,Month-to-month,Fiber optic,71.25
7994-UYIVZ,88,High,0.8823,8,Month-to-month,Fiber optic,85.65
5032-MIYKT,88,High,0.8818,1,Month-to-month,Fiber optic,70.7
3489-HHPFY,88,High,0.8812,2,Month-to-month,Fiber optic,84.05
2262-SLNVK,88,High,0.881,1,Month-to-month,Fiber optic,70.1
9605-WGJVW,88,High,0.8782,1,Month-to-month,Fiber optic,70.2
8040-MNRTF,88,High,0.8768,1,Month-to-month,Fiber optic,71.1
1197-BVMVG,87,High,0.8729,4,Month-to-month,Fiber optic,74.45
6357-JJPQT,87,High,0.8728,3,Month-to-month,Fiber optic,80.5
3318-NMQXL,87,High,0.8727,3,Month-to-month,Fiber optic,92.0
2215-ZAFGX,87,High,0.8725,9,Month-to-month,Fiber optic,85.5
8775-ERLNB,87,High,0.872,1,Month-to-month,Fiber optic,74.3
9957-YODKZ,87,High,0.8684,6,Month-to-month,Fiber optic,80.8
3422-GALYP,87,High,0.8658,2,Month-to-month,Fiber optic,79.45
9094-AZPHK,87,High,0.8655,15,Month-to-month,Fiber optic,100.15
8309-IEYJD,87,High,0.8651,1,Month-to-month,Fiber optic,70.6
