rank,CustomerID,risk_score,risk_band,churn_probability,Tenure Months,Contract,Internet Service,Monthly Charges,recommended_actions
1,4912-PIGUY,94,High,0.9361,1,Month-to-month,Fiber optic,84.6,Offer a term contract; Add Online Security (incentive)
2,2545-EBUPK,93,High,0.931,2,Month-to-month,Fiber optic,84.05,Offer a term contract; Add Online Security (incentive)
3,7439-DKZTW,93,High,0.93,1,Month-to-month,Fiber optic,80.55,Offer a term contract; Add Online Security (incentive)
4,7577-SWIFR,93,High,0.93,1,Month-to-month,Fiber optic,89.25,Offer a term contract; Add Online Security (incentive)
5,1452-VOQCH,93,High,0.9278,1,Month-to-month,Fiber optic,75.1,Offer a term contract; Add Online Security (incentive)
6,5542-TBBWB,92,High,0.924,1,Month-to-month,Fiber optic,69.9,Offer a term contract; Add Online Security (incentive)
7,5150-ITWWB,92,High,0.9238,3,Month-to-month,Fiber optic,94.85,Offer a term contract; Add Online Security (incentive)
8,0021-IKXGC,92,High,0.9235,1,Month-to-month,Fiber optic,72.1,Offer a term contract; Add Online Security (incentive)
9,4927-WWOOZ,92,High,0.9218,2,Month-to-month,Fiber optic,91.45,Offer a term contract; Add Online Security (incentive)
10,3878-AVSOQ,92,High,0.9203,1,Month-to-month,Fiber optic,71.25,Offer a term contract; Add Online Security (incentive)
11,5043-TRZWM,92,High,0.9187,1,Month-to-month,Fiber optic,75.55,Offer a term contract; Add Online Security (incentive)
12,8775-ERLNB,91,High,0.913,1,Month-to-month,Fiber optic,74.3,Offer a term contract; Add Online Security (incentive)
13,7465-ZZRVX,91,High,0.9107,1,Month-to-month,Fiber optic,70.35,Offer a term contract; Add Online Security (incentive)
14,1640-PLFMP,91,High,0.9094,1,Month-to-month,Fiber optic,70.25,Offer a term contract; Add Online Security (incentive)
15,6350-XFYGW,91,High,0.9078,4,Month-to-month,Fiber optic,94.75,Offer a term contract; Add Online Security (incentive)
16,1628-BIZYP,91,High,0.9067,1,Month-to-month,Fiber optic,85.0,Offer a term contract; Add Online Security (incentive)
17,8739-XNIKG,91,High,0.9066,5,Month-to-month,Fiber optic,84.0,Offer a term contract; Add Online Security (incentive)
18,9603-OAIHC,91,High,0.9063,1,Month-to-month,Fiber optic,70.05,Offer a term contract; Add Online Security (incentive)
19,9605-WGJVW,90,High,0.9022,1,Month-to-month,Fiber optic,70.2,Offer a term contract; Add Online Security (incentive)
20,5032-MIYKT,90,High,0.9011,1,Month-to-month,Fiber optic,70.7,Offer a term contract; Add Online Security (incentive)
21,7398-SKNQZ,90,High,0.9003,3,Month-to-month,Fiber optic,94.9,Offer a term contract; Add Online Security (incentive)
22,8040-MNRTF,90,High,0.9,1,Month-to-month,Fiber optic,71.1,Offer a term contract; Add Online Security (incentive)
23,3318-NMQXL,90,High,0.8994,3,Month-to-month,Fiber optic,92.0,Offer a term contract; Add Online Security (incentive)
24,2254-DLXRI,90,High,0.8971,1,Month-to-month,Fiber optic,79.15,Offer a term contract; Add Online Security (incentive)
25,4234-XTNEA,90,High,0.8965,2,Month-to-month,Fiber optic,79.95,Offer a term contract; Add Online Security (incentive)
26,4929-XIHVW,90,High,0.8964,2,Month-to-month,Fiber optic,95.5,Offer a term contract; Add Online Security (incentive)
27,6630-UJZMY,90,High,0.8957,4,Month-to-month,Fiber optic,83.25,Offer a term contract; Add Online Security (incentive)
28,2789-HQBOU,89,High,0.8931,3,Month-to-month,Fiber optic,80.35,Offer a term contract; Add Online Security (incentive)
29,9617-INGJY,89,High,0.8919,1,Month-to-month,Fiber optic,70.6,Offer a term contract; Add Online Security (incentive)
30,4749-OJKQU,89,High,0.8918,4,Month-to-month,Fiber optic,75.65,Offer a term contract; Add Online Security (incentive)
31,9717-QEBGU,89,High,0.8904,2,Month-to-month,Fiber optic,70.3,Offer a term contract; Add Online Security (incentive)
32,2897-DOVND,89,High,0.89,2,Month-to-month,Fiber optic,69.8,Offer a term contract; Add Online Security (incentive)
33,4847-TAJYI,89,High,0.8895,6,Month-to-month,Fiber optic,89.35,Offer a term contract; Add Online Security (incentive)
34,2262-SLNVK,89,High,0.8886,1,Month-to-month,Fiber optic,70.1,Offer a term contract; Add Online Security (incentive)
35,9957-YODKZ,89,High,0.8882,6,Month-to-month,Fiber optic,80.8,Offer a term contract; Add Online Security (incentive)
36,1746-TGTWV,89,High,0.8879,1,Month-to-month,Fiber optic,75.35,Offer a term contract; Add Online Security (incentive)
37,6407-UTSLV,89,High,0.8878,2,Month-to-month,Fiber optic,83.8,Offer a term contract; Add Online Security (incentive)
38,1197-BVMVG,89,High,0.8875,4,Month-to-month,Fiber optic,74.45,Offer a term contract; Add Online Security (incentive)
39,6357-JJPQT,89,High,0.8874,3,Month-to-month,Fiber optic,80.5,Offer a term contract; Add Online Security (incentive)
40,8309-IEYJD,89,High,0.8868,1,Month-to-month,Fiber optic,70.6,Offer a term contract; Add Online Security (incentive)
41,1393-IMKZG,88,High,0.8842,1,Month-to-month,Fiber optic,95.85,Offer a term contract; Add Online Security (incentive)
42,9050-IKDZA,88,High,0.8833,2,Month-to-month,Fiber optic,81.5,Offer a term contract; Add Online Security (incentive)
43,3462-BJQQA,88,High,0.8797,6,Month-to-month,Fiber optic,89.75,Offer a term contract; Add Online Security (incentive)
44,8714-CTZJW,88,High,0.8784,4,Month-to-month,Fiber optic,82.85,Offer a term contract; Add Online Security (incentive)
45,5119-NZPTV,88,High,0.8773,2,Month-to-month,Fiber optic,70.1,Offer a term contract; Add Online Security (incentive)
46,2905-KFQUV,88,High,0.8773,2,Month-to-month,Fiber optic,70.4,Offer a term contract; Add Online Security (incentive)
47,4090-KPJIP,88,High,0.8769,3,Month-to-month,Fiber optic,74.95,Offer a term contract; Add Online Security (incentive)
48,6229-LSCKB,88,High,0.8759,6,Month-to-month,Fiber optic,79.7,Offer a term contract; Add Online Security (incentive)
49,8622-ZLFKO,87,High,0.8742,6,Month-to-month,Fiber optic,90.75,Offer a term contract; Add Online Security (incentive)
50,3422-GALYP,87,High,0.8712,2,Month-to-month,Fiber optic,79.45,Offer a term contract; Add Online Security (incentive)
51,2880-FPNAE,87,High,0.8709,2,Month-to-month,Fiber optic,74.2,Offer a term contract; Add Online Security (incentive)
52,6435-SRWBJ,87,High,0.8698,5,Month-to-month,Fiber optic,82.75,Offer a term contract; Add Online Security (incentive)
53,6918-UMQCG,87,High,0.8685,5,Month-to-month,Fiber optic,80.2,Offer a term contract; Add Online Security (incentive)
54,4395-PZMSN,87,High,0.8681,5,Month-to-month,Fiber optic,85.55,Offer a term contract; Add Online Security (incentive)
